,mse,rmse,mae
0,180014.3267003327,424.2809525542393,341.5821921724867
1,305786.94100343465,552.980054797128,441.8748840166613
2,12265.348070059646,110.74903191477408,89.27941025743253
3,323.18917143872824,17.977462875465164,15.490621769463628
4,930740.1610336934,964.7487553937001,780.7077161075935
5,48172.77518819633,219.48297243339022,178.03036390438896
6,323131.23633477936,568.4463354924362,477.49813554910855
7,159050.15097547424,398.81092133425113,317.4778950220446
8,5068.700021499513,71.19480333212188,56.28504967919961
9,2853.065203325093,53.414091804739066,43.65370164228708
10,2228.259867477329,47.20444753916021,38.64310345189718
11,589888.9764314126,768.0423011992325,610.4438989792037
12,1121.7269483446453,33.49219234903331,27.90222811340317
13,28200.039579970977,167.9286740850739,130.1495663670262
