,mse,rmse,mae,mape
0,17266.76728175726,131.40307181248565,109.22228015443812,0.0893008541090061
1,0.36027846987711043,0.6002320133724212,0.5030370391996722,0.01833178563301015
2,5.7584606684672e-07,0.0007588452192948968,0.0006388178934350541,0.03227219243725934
3,0.001347251465665413,0.036704924269986075,0.024461858494768812,0.38318117565175713
4,9.95760695893273,3.155567612796901,2.434647431755532,0.2738509112863545
5,0.7224410841375478,0.8499653429037844,0.6507748151392329,0.023055077374827444
6,3.406997529951687e-07,0.000583694914313264,0.00045422964356231054,0.02382595253680759
7,0.0017062585158845087,0.04130688218547254,0.03180327061528809,0.5620127840694409
8,3.888589895106559,1.9719507841491783,1.541821535971477,0.46641789695636593
9,0.3019768074191351,0.5495241645452319,0.4376186081794549,0.017462924226381335
10,2.367561437490604e-07,0.00048657593831699116,0.0003844569839079308,0.02116220690749742
11,0.0020966431717452804,0.04578911630229699,0.035607444722481944,0.33415366275020036
12,1.4615584815162173,1.2089493295900442,0.9593196942013423,0.5802033825737819
