,mse,rmse,mae,mape
0,13020.621225593792,114.10793673357604,96.39442122427693,0.08071434130518527
1,0.21228529789739312,0.46074428688524516,0.34175309293251377,0.012240087499253779
2,9.849105369658558e-07,0.0009924265902150424,0.0008156112810947542,0.041086108406161684
3,0.003149409134813619,0.05611959670929237,0.04346968941903015,0.9202602561836813
4,12.394216730350463,3.520542107453121,2.7403670133820515,0.37956256705198954
5,0.5746964425700292,0.7580873581389082,0.5470217503300027,0.01988133744561167
6,5.446220630717503e-07,0.0007379851374328282,0.0005677723056379154,0.02985087998821267
7,0.004447505451950496,0.06668962027145225,0.05584494532303174,1.3178442676626065
8,4.364390044509447,2.089112262304122,1.5496009263382333,0.3374538150199314
9,0.4677731505318517,0.6839394348418957,0.5150031289568984,0.02027458116679727
10,5.942687199758614e-07,0.0007708882668557496,0.0005823291300113796,0.031783763811938676
11,0.005341088817751777,0.07308275321682796,0.0610034160814755,0.6465703095157215
12,1.4873107967996586,1.2195535235485397,0.9824235189943819,0.6402796754027524
