,mse,rmse,mae,mape
0,1498.0897526804888,38.705164418724394,29.52748041555561,0.025177684593503457
1,0.02824042195281691,0.16804886775226102,0.1321710511287986,0.004719441875995464
2,1.3879685058936161e-07,0.00037255449344943033,0.00032734360882109127,0.016570987573741352
3,0.00016473019675810547,0.012834726205030844,0.008539680884344774,0.1029433794759404
4,1.486264174466308,1.2191243474175668,0.9695049642176538,0.0958682075506031
5,0.1751408303387453,0.4184983038660316,0.33495744709571296,0.011802940815689913
6,1.809804688236589e-07,0.0004254179930652427,0.00037918110354317986,0.019971404712349174
7,0.00020081882463227253,0.014171055875702153,0.009928542665041033,0.12208104245153642
8,0.45751521353770713,0.6763987090006213,0.5324027227883691,0.1644128507113985
9,0.07156725980314366,0.26752057827977205,0.2189946040673205,0.00869744839164548
10,3.8275160113119035e-08,0.0001956403846681943,0.00015014416104584602,0.008287747789211411
11,0.00018265569443817127,0.013515017367290775,0.010063663106095138,0.07255882328952622
12,0.06120229546869287,0.24739097693467496,0.18870855510531986,0.11124342532297793
